donor_name,structure,folderName,fastqName,bamName,sample,specimen_name
H14.09.001,HIP,H14.09.001.HIP.05_HIP,RS5-501001,ar_496100314,H501-1001,H14.09.001.HIP.05
H14.09.001,FWM,H14.09.001.PCx.01_FWM,RS5-501002,ar_496100278,H501-1002,H14.09.001.PCx.01
H14.09.001,PCx,H14.09.001.PCx.01_PCx,RS5-501003,ar_496100290,H501-1003,H14.09.001.PCx.01
H14.09.001,TCx,H14.09.001.TCx.01_TCx,RS5-501004,ar_496100279,H501-1004,H14.09.001.TCx.01
H14.09.002,HIP,H14.09.002.HIP.01_HIP,RS5-501006,ar_496100281,H501-1006,H14.09.002.HIP.01
H14.09.002,FWM,H14.09.002.PCx.01_FWM,RS5-501009,ar_496100284,H501-1009,H14.09.002.PCx.01
H14.09.002,PCx,H14.09.002.PCx.01_PCx,RS5-501008,ar_496100283,H501-1008,H14.09.002.PCx.01
H14.09.002,TCx,H14.09.002.TCx.01_TCx,RS5-501010,ar_496100285,H501-1010,H14.09.002.TCx.01
H14.09.003,HIP,H14.09.003.HIP.03_HIP,RS5-501013,ar_496100288,H501-1013,H14.09.003.HIP.03
H14.09.003,TCx,H14.09.003.TCx.03_TCx,RS5-501012,ar_496100287,H501-1012,H14.09.003.TCx.03
H14.09.004,HIP,H14.09.004.HIP.01_HIP,RS5-501014,ar_496100303,H501-1014,H14.09.004.HIP.01
H14.09.004,FWM,H14.09.004.PCx.01_FWM,RS5-501018,ar_496100277,H501-1018,H14.09.004.PCx.01
H14.09.004,PCx,H14.09.004.PCx.01_PCx,RS5-501017,ar_496100292,H501-1017,H14.09.004.PCx.01
H14.09.004,TCx,H14.09.004.TCx.01_TCx,RS5-501016,ar_496100291,H501-1016,H14.09.004.TCx.01
H14.09.005,HIP,H14.09.005.HIP.01_HIP,RS5-501032,ar_496100313,H501-1032,H14.09.005.HIP.01
H14.09.006,HIP,H14.09.006.HIP.03_HIP,RS5-501038,ar_496100304,H501-1038,H14.09.006.HIP.03
H14.09.006,FWM,H14.09.006.PCx.01_FWM,RS5-501037,ar_496100306,H501-1037,H14.09.006.PCx.01
H14.09.006,PCx,H14.09.006.PCx.01_PCx,RS5-501036,ar_496100305,H501-1036,H14.09.006.PCx.01
H14.09.006,TCx,H14.09.006.TCx.03_TCx,RS5-501035,ar_496100310,H501-1035,H14.09.006.TCx.03
H14.09.007,HIP,H14.09.007.HIP.01_HIP,RS5-501020,ar_496100294,H501-1020,H14.09.007.HIP.01
H14.09.007,FWM,H14.09.007.PCx.01_FWM,RS5-501023,ar_496100297,H501-1023,H14.09.007.PCx.01
H14.09.007,PCx,H14.09.007.PCx.01_PCx,RS5-501022,ar_496100296,H501-1022,H14.09.007.PCx.01
H14.09.007,TCx,H14.09.007.TCx.01_TCx,RS5-501021,ar_496100295,H501-1021,H14.09.007.TCx.01
H14.09.008,HIP,H14.09.008.HIP.01_HIP,RS5-501031,ar_496100312,H501-1031,H14.09.008.HIP.01
